Order_Year,Order_Month,Order_Day,Order_Week,Ship_Mode,Segment,Country,City,State,Region,Category,Sub-Category,Sales,Quantity,Profit,Sales_per_Quantity,Profit_Margin,Order_Quarter,Is_weekend?
2019,January,15,3,Standard Class,Consumer,United States,New York City,New York,East,Office Supplies,Binders,49.536,3,17.3376,16.512,0.35,1,FALSE
2019,January,22,4,Standard Class,Consumer,United States,New York City,New York,East,Office Supplies,Binders,26.336,4,9.2176,6.584,0.35,1,FALSE
2019,February,15,7,Standard Class,Consumer,United States,New York City,New York,East,Office Supplies,Binders,398.352,3,124.485,132.784,0.3125,1,FALSE
2019,March,8,10,Standard Class,Consumer,United States,New York City,New York,East,Office Supplies,Binders,69.456,2,22.5732,34.728,0.325,1,FALSE
2019,March,29,13,Standard Class,Consumer,United States,New York City,New York,East,Office Supplies,Binders,29.8,5,9.3125,5.96,0.3125,1,FALSE
2019,March,29,13,Standard Class,Consumer,United States,New York City,New York,East,Office Supplies,Binders,41.328,7,14.9814,5.904,0.3625,1,FALSE
2019,April,1,14,Standard Class,Corporate,United States,New York City,New York,East,Office Supplies,Binders,14.352,3,4.6644,4.784,0.325,2,FALSE
2019,April,1,14,Standard Class,Consumer,United States,New York City,New York,East,Office Supplies,Binders,3.592,1,1.1225,3.592,0.3125,2,FALSE
2019,April,4,14,Standard Class,Consumer,United States,New York City,New York,East,Office Supplies,Binders,588.784,2,183.995,294.392,0.3125,2,FALSE
2019,April,19,16,Standard Class,Consumer,United States,New York City,New York,East,Office Supplies,Binders,9.28,2,3.248,4.64,0.35,2,FALSE
2019,April,30,18,Standard Class,Consumer,United States,New York City,New York,East,Office Supplies,Binders,7.712,2,2.7956,3.856,0.3625,2,FALSE
2019,May,2,18,Standard Class,Corporate,United States,New York City,New York,East,Office Supplies,Binders,90.48,3,33.93,30.16,0.375,2,FALSE
2019,May,7,19,Standard Class,Consumer,United States,New York City,New York,East,Office Supplies,Binders,85.232,7,30.8966,12.176,0.3625,2,FALSE
2019,May,15,20,Standard Class,Consumer,United States,New York City,New York,East,Office Supplies,Binders,13.776,3,4.4772,4.592,0.325,2,FALSE
2019,May,19,21,Standard Class,Consumer,United States,New York City,New York,East,Office Supplies,Binders,47.744,4,14.92,11.936,0.3125,2,TRUE
2019,May,31,22,Standard Class,Consumer,United States,New York City,New York,East,Office Supplies,Binders,7.152,3,2.3244,2.384,0.325,2,FALSE
2019,June,21,25,Standard Class,Consumer,United States,New York City,New York,East,Office Supplies,Binders,36.56,5,12.796,7.312,0.35,2,FALSE
2019,June,21,25,Standard Class,Consumer,United States,New York City,New York,East,Office Supplies,Binders,186.144,6,60.4968,31.024,0.325,2,FALSE
2019,July,14,29,Standard Class,Corporate,United States,New York City,New York,East,Office Supplies,Binders,14.16,2,5.133,7.08,0.3625,3,TRUE
2019,August,26,35,Standard Class,Corporate,United States,New York City,New York,East,Office Supplies,Binders,146.688,8,45.84,18.336,0.3125,3,FALSE
2019,September,4,36,Standard Class,Consumer,United States,New York City,New York,East,Office Supplies,Binders,60.6,5,20.4525,12.12,0.3375,3,FALSE
2019,September,15,38,Standard Class,Corporate,United States,New York City,New York,East,Office Supplies,Binders,841.568,2,294.5488,420.784,0.35,3,TRUE
2019,September,17,38,Standard Class,Consumer,United States,New York City,New York,East,Office Supplies,Binders,232.4,5,78.435,46.48,0.3375,3,FALSE
2019,September,18,38,Standard Class,Consumer,United States,New York City,New York,East,Office Supplies,Binders,4.616,1,1.731,4.616,0.375,3,FALSE
2019,October,27,44,Standard Class,Consumer,United States,New York City,New York,East,Office Supplies,Binders,9.728,2,3.2832,4.864,0.3375,4,TRUE
2019,October,30,44,Standard Class,Corporate,United States,New York City,New York,East,Office Supplies,Binders,28.752,3,10.0632,9.584,0.35,4,FALSE
2019,November,10,46,Standard Class,Corporate,United States,New York City,New York,East,Office Supplies,Binders,20.368,1,7.3834,20.368,0.3625,4,TRUE
2019,November,10,46,Standard Class,Corporate,United States,New York City,New York,East,Office Supplies,Binders,49.848,3,16.8237,16.616,0.3375,4,TRUE
2019,November,10,46,Standard Class,Consumer,United States,New York City,New York,East,Office Supplies,Binders,3.64,1,1.365,3.64,0.375,4,TRUE
2019,November,11,46,Standard Class,Corporate,United States,New York City,New York,East,Office Supplies,Binders,55.008,3,17.19,18.336,0.3125,4,FALSE
2019,November,11,46,Standard Class,Corporate,United States,New York City,New York,East,Office Supplies,Binders,35.232,3,11.4504,11.744,0.325,4,FALSE
2019,November,19,47,Standard Class,Consumer,United States,New York City,New York,East,Office Supplies,Binders,14.352,3,4.6644,4.784,0.325,4,FALSE
2019,November,22,47,Standard Class,Corporate,United States,New York City,New York,East,Office Supplies,Binders,12.192,4,4.1148,3.048,0.3375,4,FALSE
2019,November,22,47,Standard Class,Home Office,United States,New York City,New York,East,Office Supplies,Binders,134.272,8,46.9952,16.784,0.35,4,FALSE
2019,December,2,49,Standard Class,Consumer,United States,New York City,New York,East,Office Supplies,Binders,415.176,3,134.9322,138.392,0.325,4,FALSE
2019,December,2,49,Standard Class,Consumer,United States,New York City,New York,East,Office Supplies,Binders,35.232,3,11.4504,11.744,0.325,4,FALSE
2019,December,14,50,Standard Class,Consumer,United States,New York City,New York,East,Office Supplies,Binders,23.12,2,7.803,11.56,0.3375,4,FALSE
2019,December,22,52,Standard Class,Consumer,United States,New York City,New York,East,Office Supplies,Binders,25.584,2,8.9544,12.792,0.35,4,TRUE
2019,December,26,52,Standard Class,Corporate,United States,New York City,New York,East,Office Supplies,Binders,4.992,3,1.6848,1.664,0.3375,4,FALSE
2020,February,6,6,Standard Class,Corporate,United States,New York City,New York,East,Office Supplies,Binders,134.24,4,15.606,33.56,0.1162544696,1,FALSE
2020,March,7,10,Standard Class,Consumer,United States,New York City,New York,East,Office Supplies,Binders,133.92,6,9.072,22.32,0.06774193548,1,FALSE
2020,April,14,16,Standard Class,Consumer,United States,New York City,New York,East,Office Supplies,Binders,110.776,3,3.5022,36.92533333,0.0316151513,2,FALSE
2020,May,18,21,Standard Class,Consumer,United States,New York City,New York,East,Office Supplies,Binders,102.048,1,1.0287,102.048,0.01008055033,2,FALSE
2020,June,12,24,Standard Class,Consumer,United States,New York City,New York,East,Office Supplies,Binders,124.128,3,4.2666,41.376,0.03437258314,2,FALSE
2020,June,19,25,Standard Class,Corporate,United States,New York City,New York,East,Office Supplies,Binders,137.568,3,3.7596,45.856,0.02732903001,2,FALSE
2020,June,26,26,Standard Class,Corporate,United States,New York City,New York,East,Office Supplies,Binders,127.368,2,37.1084,63.684,0.2913479053,2,FALSE
2020,July,23,30,Standard Class,Home Office,United States,New York City,New York,East,Office Supplies,Binders,120.92,3,4.35,40.30666667,0.03597419782,3,FALSE
2020,July,23,30,Standard Class,Corporate,United States,New York City,New York,East,Office Supplies,Binders,116.128,3,4.2666,38.70933333,0.03674049325,3,FALSE
2020,August,21,34,Standard Class,Consumer,United States,New York City,New York,East,Office Supplies,Binders,4330.552,6,1453.1238,721.7586667,0.3355516341,3,FALSE
2020,August,21,34,Standard Class,Consumer,United States,New York City,New York,East,Office Supplies,Binders,139.088,7,11.2308,19.86971429,0.08074600253,3,FALSE
2020,August,24,35,Standard Class,Corporate,United States,New York City,New York,East,Office Supplies,Binders,141.744,1,1.3104,141.744,0.00924483576,3,FALSE
2020,August,24,35,Standard Class,Corporate,United States,New York City,New York,East,Office Supplies,Binders,121.672,4,7.71,30.418,0.06336708528,3,FALSE
2020,September,2,36,Standard Class,Corporate,United States,New York City,New York,East,Office Supplies,Binders,104.432,8,8.9208,13.054,0.08542209285,3,FALSE
2020,September,20,39,Standard Class,Consumer,United States,New York City,New York,East,Office Supplies,Binders,119.784,3,3.9771,39.928,0.03320226408,3,TRUE
2020,October,9,41,Standard Class,Consumer,United States,New York City,New York,East,Office Supplies,Binders,125.816,3,4.3254,41.93866667,0.03437877535,4,FALSE
2020,October,9,41,Standard Class,Consumer,United States,New York City,New York,East,Office Supplies,Binders,144.24,6,6.156,24.04,0.04267886855,4,FALSE
2020,November,10,46,Standard Class,Corporate,United States,New York City,New York,East,Office Supplies,Binders,971.176,3,314.2719,323.7253333,0.323599327,4,FALSE
2020,November,14,46,Standard Class,Consumer,United States,New York City,New York,East,Office Supplies,Binders,121.64,2,3.024,60.82,0.02486024334,4,FALSE
2020,November,26,48,Standard Class,Home Office,United States,New York City,New York,East,Office Supplies,Binders,135.344,4,32.6704,33.836,0.2413878709,4,FALSE
2020,December,3,49,Standard Class,Consumer,United States,New York City,New York,East,Office Supplies,Binders,116.92,5,29.372,23.384,0.2512145056,4,FALSE
2020,December,3,49,Standard Class,Consumer,United States,New York City,New York,East,Office Supplies,Binders,110.624,2,5.1184,55.312,0.04626844084,4,FALSE
2020,December,11,50,Standard Class,Consumer,United States,New York City,New York,East,Office Supplies,Binders,415.952,1,5.0463,415.952,0.01213192868,4,FALSE
2020,December,11,50,Standard Class,Consumer,United States,New York City,New York,East,Office Supplies,Binders,398.36,4,7.884,99.59,0.01979114369,4,FALSE
2020,December,17,51,Standard Class,Consumer,United States,New York City,New York,East,Office Supplies,Binders,444.816,3,8.3754,148.272,0.01882890903,4,FALSE
2020,December,20,52,Standard Class,Corporate,United States,New York City,New York,East,Office Supplies,Binders,489.352,3,17.6232,163.1173333,0.03601334009,4,TRUE
2020,December,24,52,Standard Class,Consumer,United States,New York City,New York,East,Office Supplies,Binders,362.88,3,5.5875,120.96,0.01539765212,4,FALSE
2020,December,28,53,Standard Class,Consumer,United States,New York City,New York,East,Office Supplies,Binders,158.264,7,11.2266,22.60914286,0.07093590456,4,FALSE
2020,December,30,53,Standard Class,Consumer,United States,New York City,New York,East,Office Supplies,Binders,462.776,3,19.791,154.2586667,0.04276583055,4,FALSE
2019,July,7,28,Standard Class,Home Office,United States,Philadelphia,Pennsylvania,East,Office Supplies,Binders,5.715,5,-4.7625,1.143,-0.8333333333,3,TRUE
2019,July,7,28,Standard Class,Home Office,United States,Philadelphia,Pennsylvania,East,Office Supplies,Binders,9.42,5,-7.85,1.884,-0.8333333333,3,TRUE
2019,August,11,33,Standard Class,Home Office,United States,Tulsa,Oklahoma,Central,Office Supplies,Binders,41.86,7,19.2556,5.98,0.46,3,TRUE
2019,August,11,33,Standard Class,Home Office,United States,Tulsa,Oklahoma,Central,Office Supplies,Binders,77.56,2,35.6776,38.78,0.46,3,TRUE
2019,November,10,46,Standard Class,Home Office,United States,Springfield,Ohio,East,Office Supplies,Binders,69.888,7,-46.592,9.984,-0.6666666667,4,TRUE
2019,December,8,50,Standard Class,Home Office,United States,Columbus,Ohio,East,Office Supplies,Binders,12.957,7,-9.5018,1.851,-0.7333333333,4,TRUE
2020,June,21,26,Standard Class,Home Office,United States,Wheeling,West Virginia,East,Office Supplies,Binders,131.4,5,40.376,26.28,0.3072754947,2,TRUE
2020,June,21,26,Standard Class,Home Office,United States,Wheeling,West Virginia,East,Office Supplies,Binders,99.24,2,3.0576,49.62,0.03081015719,2,TRUE
2019,January,31,5,Standard Class,Home Office,United States,Atlanta,Georgia,South,Office Supplies,Binders,1270.99,1,635.495,1270.99,0.5,1,FALSE
2019,February,21,8,Standard Class,Home Office,United States,Tampa,Florida,South,Office Supplies,Binders,3.762,3,-2.7588,1.254,-0.7333333333,1,FALSE
2019,February,21,8,Standard Class,Home Office,United States,Tampa,Florida,South,Office Supplies,Binders,34.86,2,-26.726,17.43,-0.7666666667,1,FALSE
2019,March,6,10,Standard Class,Home Office,United States,Philadelphia,Pennsylvania,East,Office Supplies,Binders,2.043,1,-1.4982,2.043,-0.7333333333,1,FALSE
2019,March,8,10,Standard Class,Home Office,United States,Dallas,Texas,Central,Office Supplies,Binders,8.856,9,-14.1696,0.984,-1.6,1,FALSE
2019,March,13,11,Standard Class,Home Office,United States,Waynesboro,Virginia,South,Office Supplies,Binders,46,4,20.7,11.5,0.45,1,FALSE
2019,April,8,15,Standard Class,Home Office,United States,Troy,Ohio,East,Office Supplies,Binders,121.104,6,-100.92,20.184,-0.8333333333,2,FALSE
2019,April,15,16,Standard Class,Home Office,United States,Gastonia,North Carolina,South,Office Supplies,Binders,189.588,2,-145.3508,94.794,-0.7666666667,2,FALSE
2019,April,22,17,Standard Class,Home Office,United States,Phoenix,Arizona,West,Office Supplies,Binders,28.485,5,-20.889,5.697,-0.7333333333,2,FALSE
2019,April,24,17,Standard Class,Home Office,United States,Colorado Springs,Colorado,West,Office Supplies,Binders,3.108,2,-2.1756,1.554,-0.7,2,FALSE
2019,May,15,20,Standard Class,Home Office,United States,Jackson,Mississippi,South,Office Supplies,Binders,511.84,8,240.5648,63.98,0.47,2,FALSE
2019,June,20,25,Standard Class,Home Office,United States,Philadelphia,Pennsylvania,East,Office Supplies,Binders,29.718,6,-21.7932,4.953,-0.7333333333,2,FALSE
2019,July,23,30,Standard Class,Home Office,United States,Rockford,Illinois,Central,Office Supplies,Binders,11.416,4,-18.8364,2.854,-1.65,3,FALSE
2019,July,30,31,Standard Class,Home Office,United States,Houston,Texas,Central,Office Supplies,Binders,9.264,3,-13.896,3.088,-1.5,3,FALSE
2019,August,9,32,Standard Class,Home Office,United States,Hendersonville,Tennessee,South,Office Supplies,Binders,4.338,3,-3.0366,1.446,-0.7,3,FALSE
2019,August,9,32,Standard Class,Home Office,United States,Hendersonville,Tennessee,South,Office Supplies,Binders,11.88,5,-7.92,2.376,-0.6666666667,3,FALSE
2019,August,29,35,Standard Class,Home Office,United States,Chicago,Illinois,Central,Office Supplies,Binders,1.788,3,-3.0396,0.596,-1.7,3,FALSE
2019,September,11,37,Standard Class,Home Office,United States,Toledo,Ohio,East,Office Supplies,Binders,22.428,3,-17.9424,7.476,-0.8,3,FALSE
2019,October,4,40,Standard Class,Home Office,United States,Providence,Rhode Island,East,Office Supplies,Binders,30.4,1,13.984,30.4,0.46,4,FALSE
2019,October,15,42,Standard Class,Home Office,United States,Salt Lake City,Utah,West,Office Supplies,Binders,41.72,5,13.0375,8.344,0.3125,4,FALSE
2019,October,15,42,Standard Class,Home Office,United States,Oklahoma City,Oklahoma,Central,Office Supplies,Binders,121.6,4,55.936,30.4,0.46,4,FALSE
2019,October,21,43,Standard Class,Home Office,United States,Fort Lauderdale,Florida,South,Office Supplies,Binders,28.752,8,-21.0848,3.594,-0.7333333333,4,FALSE
2019,November,5,45,Standard Class,Home Office,United States,Lawrence,Indiana,Central,Office Supplies,Binders,104.9,5,50.352,20.98,0.48,4,FALSE
2019,November,11,46,Standard Class,Home Office,United States,Apopka,Florida,South,Office Supplies,Binders,9.888,2,-6.9216,4.944,-0.7,4,FALSE
2019,November,13,46,Standard Class,Home Office,United States,Highland Park,Illinois,Central,Office Supplies,Binders,3.136,2,-4.704,1.568,-1.5,4,FALSE
2019,November,19,47,Standard Class,Home Office,United States,Niagara Falls,New York,East,Office Supplies,Binders,17.712,3,6.4206,5.904,0.3625,4,FALSE
2019,December,20,51,Standard Class,Home Office,United States,Jackson,Mississippi,South,Office Supplies,Binders,15.42,2,6.939,7.71,0.45,4,FALSE
2020,January,6,2,Standard Class,Home Office,United States,Tuscaloosa,Alabama,South,Office Supplies,Binders,147.74,7,15.5204,21.10571429,0.1050521186,1,FALSE
2020,January,21,4,Standard Class,Home Office,United States,Jackson,Michigan,Central,Office Supplies,Binders,109.52,4,42.0744,27.38,0.3841709277,1,FALSE
2020,January,21,4,Standard Class,Home Office,United States,Seattle,Washington,West,Office Supplies,Binders,116.696,6,33.6474,19.44933333,0.2883337904,1,FALSE
2020,January,21,4,Standard Class,Home Office,United States,Jackson,Michigan,Central,Office Supplies,Binders,87.4,5,7.056,17.48,0.08073226545,1,FALSE
2020,January,21,4,Standard Class,Home Office,United States,Seattle,Washington,West,Office Supplies,Binders,92.936,4,9.4284,23.234,0.1014504605,1,FALSE
2020,January,21,4,Standard Class,Home Office,United States,Seattle,Washington,West,Office Supplies,Binders,132.72,5,6.552,26.544,0.04936708861,1,FALSE
2020,January,21,4,Standard Class,Home Office,United States,Charlotte,North Carolina,South,Office Supplies,Binders,160.784,7,-28.6272,22.96914286,-0.1780475669,1,FALSE
2020,January,23,4,Standard Class,Home Office,United States,Tucson,Arizona,West,Office Supplies,Binders,109.938,2,-3.6212,54.969,-0.03293856537,1,FALSE
2020,March,11,11,Standard Class,Home Office,United States,Philadelphia,Pennsylvania,East,Office Supplies,Binders,107.294,1,-8.6058,107.294,-0.08020765374,1,FALSE
2020,March,17,12,Standard Class,Home Office,United States,Houston,Texas,Central,Office Supplies,Binders,119.776,6,-22.0416,19.96266667,-0.1840235106,1,FALSE
2020,March,21,12,Standard Class,Home Office,United States,Seattle,Washington,West,Office Supplies,Binders,127.576,6,10.3194,21.26266667,0.08088825484,1,FALSE
2020,April,7,15,Standard Class,Home Office,United States,Tampa,Florida,South,Office Supplies,Binders,106.328,2,-3.552,53.164,-0.03340606425,2,FALSE
2020,April,11,15,Standard Class,Home Office,United States,Lubbock,Texas,Central,Office Supplies,Binders,142.364,3,-17.046,47.45466667,-0.1197353263,2,FALSE
2020,April,17,16,Standard Class,Home Office,United States,Louisville,Colorado,West,Office Supplies,Binders,100.964,6,-6.5736,16.82733333,-0.06510835545,2,FALSE
2020,April,17,16,Standard Class,Home Office,United States,Louisville,Colorado,West,Office Supplies,Binders,138.594,2,-15.8356,69.297,-0.1142589145,2,FALSE
2020,April,17,16,Standard Class,Home Office,United States,Louisville,Colorado,West,Office Supplies,Binders,127.03,5,-9.223,25.406,-0.07260489648,2,FALSE
2020,April,30,18,Standard Class,Home Office,United States,Sanford,Florida,South,Office Supplies,Binders,126.842,3,-3.5508,42.28066667,-0.02799388215,2,FALSE
2020,April,30,18,Standard Class,Home Office,United States,Danville,Illinois,Central,Office Supplies,Binders,123.372,7,-69.3952,17.62457143,-0.5624874364,2,FALSE
2020,May,25,22,Standard Class,Home Office,United States,Columbus,Georgia,South,Office Supplies,Binders,145.84,2,13.428,72.92,0.09207350521,2,FALSE
2020,May,27,22,Standard Class,Home Office,United States,Louisville,Kentucky,South,Office Supplies,Binders,165.34,2,28.0032,82.67,0.1693673642,2,FALSE
2020,June,12,24,Standard Class,Home Office,United States,Columbus,Georgia,South,Office Supplies,Binders,126.2,3,41.952,42.06666667,0.3324247227,2,FALSE
2020,June,19,25,Standard Class,Home Office,United States,Dallas,Texas,Central,Office Supplies,Binders,111.888,3,-11.0208,37.296,-0.0984984985,2,FALSE
2020,June,22,26,Standard Class,Home Office,United States,Philadelphia,Pennsylvania,East,Office Supplies,Binders,113.332,3,-7.5768,37.77733333,-0.06685490418,2,FALSE
2020,June,22,26,Standard Class,Home Office,United States,Philadelphia,Pennsylvania,East,Office Supplies,Binders,150.155,5,-23.8855,30.031,-0.159072292,2,FALSE
2020,June,30,27,Standard Class,Home Office,United States,Las Vegas,Nevada,West,Office Supplies,Binders,117.792,3,25.5798,39.264,0.2171607579,2,FALSE
2020,July,1,27,Standard Class,Home Office,United States,Indianapolis,Indiana,Central,Office Supplies,Binders,185.99,1,78.1954,185.99,0.42042798,3,FALSE
2020,July,8,28,Standard Class,Home Office,United States,Seattle,Washington,West,Office Supplies,Binders,122.376,3,30.2316,40.792,0.247038635,3,FALSE
2020,July,21,30,Standard Class,Home Office,United States,Cleveland,Ohio,East,Office Supplies,Binders,127.93,3,-22.62,42.64333333,-0.1768154459,3,FALSE
2020,July,31,31,Standard Class,Home Office,United States,Wilmington,Delaware,East,Office Supplies,Binders,877.95,5,390.977,175.59,0.4453294607,3,FALSE
2020,July,31,31,Standard Class,Home Office,United States,Wilmington,Delaware,East,Office Supplies,Binders,130.01,3,5.3949,43.33666667,0.04149603877,3,FALSE
2020,August,17,34,Standard Class,Home Office,United States,Louisville,Kentucky,South,Office Supplies,Binders,137.93,3,48.3771,45.97666667,0.3507366055,3,FALSE
2020,August,28,35,Standard Class,Home Office,United States,Seattle,Washington,West,Office Supplies,Binders,143.68,5,32.396,28.736,0.2254732739,3,FALSE
2020,September,7,37,Standard Class,Home Office,United States,Independence,Missouri,Central,Office Supplies,Binders,1600.94,3,757.4112,533.6466667,0.4731040514,3,FALSE
2020,September,10,37,Standard Class,Home Office,United States,Chicago,Illinois,Central,Office Supplies,Binders,804.594,3,-1143.891,268.198,-1.42169964,3,FALSE
2020,September,24,39,Standard Class,Home Office,United States,Hollywood,Florida,South,Office Supplies,Binders,94.57,3,-11.418,31.52333333,-0.1207359628,3,FALSE
2020,September,30,40,Standard Class,Home Office,United States,Arlington,Texas,Central,Office Supplies,Binders,127.646,9,-17.469,14.18288889,-0.1368550523,3,FALSE
2020,October,7,41,Standard Class,Home Office,United States,Charlotte,North Carolina,South,Office Supplies,Binders,138.454,6,-33.636,23.07566667,-0.2429398934,4,FALSE
2020,October,14,42,Standard Class,Home Office,United States,Chicago,Illinois,Central,Office Supplies,Binders,111.456,1,-23.548,111.456,-0.2112761987,4,FALSE
2020,October,14,42,Standard Class,Home Office,United States,Chicago,Illinois,Central,Office Supplies,Binders,130.396,9,-42.4638,14.48844444,-0.3256526274,4,FALSE
2020,October,14,42,Standard Class,Home Office,United States,Columbia,Maryland,East,Office Supplies,Binders,150.66,7,18.4534,21.52285714,0.1224837382,4,FALSE
2020,October,19,43,Standard Class,Home Office,United States,Burlington,North Carolina,South,Office Supplies,Binders,1677.188,4,-1306.5504,419.297,-0.77901249,4,FALSE
2020,October,21,43,Standard Class,Home Office,United States,Lakewood,Ohio,East,Office Supplies,Binders,118.216,4,-4.9728,29.554,-0.04206537186,4,FALSE
2020,November,6,45,Standard Class,Home Office,United States,Portland,Oregon,West,Office Supplies,Binders,82.682,1,-3.788,82.682,-0.04581408287,4,FALSE
2020,November,11,46,Standard Class,Home Office,United States,Milwaukee,Wisconsin,Central,Office Supplies,Binders,90.24,3,8.5728,30.08,0.095,4,FALSE
2020,November,12,46,Standard Class,Home Office,United States,Dallas,Texas,Central,Office Supplies,Binders,152.56,5,-45.84,30.512,-0.3004719455,4,FALSE
2020,November,24,48,Standard Class,Home Office,United States,Richmond,Kentucky,South,Office Supplies,Binders,117.88,1,1.4112,117.88,0.01197149644,4,FALSE
2020,December,2,49,Standard Class,Home Office,United States,Tampa,Florida,South,Office Supplies,Binders,133.66,5,-33.484,26.732,-0.2505162352,4,FALSE
2020,December,16,51,Standard Class,Home Office,United States,Rochester,New York,East,Office Supplies,Binders,277.376,4,10.43,69.344,0.03760238809,4,FALSE
2020,December,26,52,Standard Class,Home Office,United States,Columbus,Ohio,East,Office Supplies,Binders,308.132,2,-2.61,154.066,-0.008470395804,4,FALSE
2020,December,28,53,Standard Class,Home Office,United States,Fargo,North Dakota,Central,Office Supplies,Binders,296.9,5,12.691,59.38,0.042745032,4,FALSE
2019,April,21,17,Standard Class,Corporate,United States,Chicago,Illinois,Central,Office Supplies,Binders,44.848,8,-67.272,5.606,-1.5,2,TRUE
2019,June,2,23,Standard Class,Corporate,United States,Seattle,Washington,West,Office Supplies,Binders,51.648,12,18.7224,4.304,0.3625,2,TRUE
2019,June,2,23,Standard Class,Corporate,United States,Seattle,Washington,West,Office Supplies,Binders,11.232,3,3.9312,3.744,0.35,2,TRUE
2019,September,15,38,Standard Class,Corporate,United States,Twin Falls,Idaho,West,Office Supplies,Binders,20.416,4,6.6352,5.104,0.325,3,TRUE
2019,November,10,46,Standard Class,Corporate,United States,Springfield,Missouri,Central,Office Supplies,Binders,81.96,2,39.3408,40.98,0.48,4,TRUE
